ranking,route,passengers,distance_km,origin_hub,origin_hub_qid,origin_hub_latitude,origin_hub_longitude,destination_hub,destination_hub_qid,destination_hub_latitude,destination_hub_longitude
591,Lisbon - Bordeaux,245459,983.0490181411533,Lisbon,Q597,38.708042,-9.139016,Bordeaux,Q1479,44.837777777778,-0.57944444444444
592,Madrid - Marseille,245027,815.7863557412081,Madrid,Q2807,40.418888888889,-3.6919444444444,Marseille,Q23482,43.296666666667,5.3763888888889
593,Munich - Gothenburg,242653,1060.5015237212588,Munich,Q1726,48.1375,11.575,Gothenburg,Q25287,57.671706102705,11.980966694056
594,Amsterdam - Bilbao,242170,1169.9333866319841,Amsterdam,Q727,52.383333333333,4.9,Bilbao,Q8692,43.262222222222,-2.9533333333333
595,Barcelona - Birmingham,240710,1271.7402014719958,Barcelona,Q1492,41.3825,2.1769444444444,Birmingham,Q2256,52.48,-1.9025
596,Lisbon - Nantes,239930,1128.4641274807045,Lisbon,Q597,38.708042,-9.139016,Nantes,Q12191,47.217222222222,-1.5538888888889
597,Amsterdam - Liverpool,239764,541.2055442669885,Amsterdam,Q727,52.383333333333,4.9,Liverpool,Q24826,53.4075,-2.99194444444444
598,Zürich - Venice,239723,361.8728571612144,Zürich,Q72,47.378611111111,8.54,Venice,Q641,45.439722222222,12.331944444444
599,Frankfurt - Thessaloniki,239684,1527.9746176074814,Frankfurt,Q1794,50.113611111111,8.6797222222222,Thessaloniki,Q17151,40.6402777777778,22.9355555555556
600,Catania - Pisa,239339,795.9047274015996,Catania,Q1903,37.502669444444,15.087269444444,Pisa,Q13375,43.716666666667,10.4
601,Paris - Perpignan,239220,686.189825615216,Paris,Q90,48.856944444444,2.3513888888889,Perpignan,Q6730,42.6975,2.8947222222222
602,Belgrade - Tivat,239213,301.0647941500682,Belgrade,Q3711,44.816666666667,20.466666666667,Tivat,Q223469,42.43,18.7
603,Venice - Munich,239201,305.4606994911584,Venice,Q641,45.439722222222,12.331944444444,Munich,Q1726,48.1375,11.575
604,Zagreb - Munich,238801,422.2101174181076,Zagreb,Q1435,45.8130555555556,15.9772222222222,Munich,Q1726,48.1375,11.575
605,Lisbon - Toulouse,238228,1038.7023116984824,Lisbon,Q597,38.708042,-9.139016,Toulouse,Q7880,43.604444444444,1.4438888888889
606,Düsseldorf - Stockholm,238045,1146.9137530455546,Düsseldorf,Q1718,51.231144444444,6.7723805555556,Stockholm,Q1754,59.329444444444,18.068611111111
607,Frankfurt - Graz,237532,600.9404413230999,Frankfurt,Q1794,50.113611111111,8.6797222222222,Graz,Q13298,47.0708333333333,15.4386111111111
608,Lisbon - Marseille,237421,1318.3556150609302,Lisbon,Q597,38.708042,-9.139016,Marseille,Q23482,43.296666666667,5.3763888888889
609,Naples - Palermo,237276,311.6661234041581,Naples,Q2634,40.833333333333,14.25,Palermo,Q2656,38.115658,13.361262
610,Helsinki - Gothenburg,236844,792.2908437129954,Helsinki,Q1757,60.17556,24.93417,Gothenburg,Q25287,57.671706102705,11.980966694056
611,Eindhoven - Faro,236773,1920.400511951368,Eindhoven,Q9832,51.434444444444,5.4841666666667,Faro,Q159457,37.0161111111111,-7.935
612,Sofia - Athens,236253,525.2706004044036,Sofia,Q472,42.697886,23.321726,Athens,Q1524,37.9841666666667,23.7280555555556
613,Athens - Alexandroupoli,236026,367.7990708716752,Athens,Q1524,37.9841666666667,23.7280555555556,Alexandroupoli,Q190847,40.85,25.866666666667
614,Lyon - Munich,235592,575.2297854808471,Lyon,Q456,45.758888888889,4.8413888888889,Munich,Q1726,48.1375,11.575
615,Lisbon - Hamburg,235480,2199.23142236866,Lisbon,Q597,38.708042,-9.139016,Hamburg,Q1055,53.55,10
616,Paris - Pisa,235312,841.2895637841837,Paris,Q90,48.856944444444,2.3513888888889,Pisa,Q13375,43.716666666667,10.4
617,Zürich - Budapest,235222,789.2821699289073,Zürich,Q72,47.378611111111,8.54,Budapest,Q1781,47.498333333333,19.040833333333
618,Rome - Lyon,235159,748.1636738039999,Rome,Q220,41.893055555556,12.482777777778,Lyon,Q456,45.758888888889,4.8413888888889
619,Frankfurt - Bilbao,234655,1167.1406733788822,Frankfurt,Q1794,50.113611111111,8.6797222222222,Bilbao,Q8692,43.262222222222,-2.9533333333333
620,Lille - Toulouse,234307,790.8515498725408,Lille,Q648,50.631944444444,3.0575,Toulouse,Q7880,43.604444444444,1.4438888888889
621,Oslo - Gdańsk,234103,777.4760972116518,Oslo,Q585,59.911111111111,10.752777777778,Gdańsk,Q1792,54.366666666667,18.633333333333
622,Basel - Alicante,234058,1215.7523873847979,Basel,Q78,47.560555555556,7.5905555555556,Alicante,Q11959,38.345277777778,-0.48305555555556
623,Amsterdam - Aalborg,234019,610.4455845873243,Amsterdam,Q727,52.383333333333,4.9,Aalborg,Q25410,57.05,9.9166666666667
624,Munich - Münster,233718,510.14058798524167,Munich,Q1726,48.1375,11.575,Münster,Q2742,51.9625,7.6255555555556
625,Vilnius - Warsaw,233666,392.8509570509026,Vilnius,Q216,54.683333333333,25.283333333333,Warsaw,Q270,52.216666666667,21.033333333333
626,Naples - Madrid,233652,1512.2524923273852,Naples,Q2634,40.833333333333,14.25,Madrid,Q2807,40.418888888889,-3.6919444444444
627,London - Bari,233555,1734.8044483030624,London,Q84,51.507222222222,-0.1275,Bari,Q3519,41.125277777778,16.866666666667
628,Frankfurt - Naples,233009,1118.8129919951855,Frankfurt,Q1794,50.113611111111,8.6797222222222,Naples,Q2634,40.833333333333,14.25
629,Prague - Budapest,232957,444.11936375057036,Prague,Q1085,50.083333333333,14.416666666667,Budapest,Q1781,47.498333333333,19.040833333333
630,Rome - Stockholm,232915,1976.8174703892462,Rome,Q220,41.893055555556,12.482777777778,Stockholm,Q1754,59.329444444444,18.068611111111
631,Barcelona - Liverpool,232287,1391.6474508599317,Barcelona,Q1492,41.3825,2.1769444444444,Liverpool,Q24826,53.4075,-2.99194444444444
632,Prague - Manchester,232136,1202.4563347613184,Prague,Q1085,50.083333333333,14.416666666667,Manchester,Q18125,53.466666666667,-2.2333333333333
633,Brussels - Helsinki,231507,1648.0372419914927,Brussels,Q239,50.8466666666667,4.35166666666667,Helsinki,Q1757,60.17556,24.93417
634,Copenhagen - Budapest,231448,1012.2825685694992,Copenhagen,Q1748,55.676111111111,12.568888888889,Budapest,Q1781,47.498333333333,19.040833333333
635,Birmingham - Glasgow,230262,405.76872975119403,Birmingham,Q2256,52.48,-1.9025,Glasgow,Q4093,55.8611111111111,-4.25
636,Brussels - Edinburgh,229957,755.8557844229408,Brussels,Q239,50.8466666666667,4.35166666666667,Edinburgh,Q23436,55.95,-3.1988888888889
637,Frankfurt - Faro,229823,1969.270629382087,Frankfurt,Q1794,50.113611111111,8.6797222222222,Faro,Q159457,37.0161111111111,-7.935
638,Vilnius - Riga,229468,262.2623319104366,Vilnius,Q216,54.683333333333,25.283333333333,Riga,Q1773,56.9475,24.106944444444
639,Brussels - Valencia,229435,1317.5243494237434,Brussels,Q239,50.8466666666667,4.35166666666667,Valencia,Q8818,39.47,-0.376388888888889
640,Helsinki - Budapest,229327,1460.3060392671885,Helsinki,Q1757,60.17556,24.93417,Budapest,Q1781,47.498333333333,19.040833333333
641,Verona - Palermo,229313,837.5194990320881,Verona,Q2028,45.4386111111111,10.9927777777778,Palermo,Q2656,38.115658,13.361262
642,Warsaw - Oslo,228428,1064.8384770535092,Warsaw,Q270,52.216666666667,21.033333333333,Oslo,Q585,59.911111111111,10.752777777778
643,Warsaw - Bucharest,228167,945.4488107124581,Warsaw,Q270,52.216666666667,21.033333333333,Bucharest,Q19660,44.4,26.083333333333
644,Amsterdam - Bologna,227821,996.8121579392866,Amsterdam,Q727,52.383333333333,4.9,Bologna,Q1891,44.493888888889,11.342777777778
645,Lille - Bordeaux,227815,699.1236669235057,Lille,Q648,50.631944444444,3.0575,Bordeaux,Q1479,44.837777777778,-0.57944444444444
646,Valencia - Eindhoven,227728,1405.5963759967306,Valencia,Q8818,39.47,-0.376388888888889,Eindhoven,Q9832,51.434444444444,5.4841666666667
647,Frankfurt - Salzburg,227103,409.8339374558246,Frankfurt,Q1794,50.113611111111,8.6797222222222,Salzburg,Q34713,47.7972,13.04768
648,Geneva - Copenhagen,226502,1144.501174964072,Geneva,Q71,46.2,6.15,Copenhagen,Q1748,55.676111111111,12.568888888889
649,Munich - Graz,225178,312.9639324735743,Munich,Q1726,48.1375,11.575,Graz,Q13298,47.0708333333333,15.4386111111111
650,Rome - Sofia,224999,895.3507542249074,Rome,Q220,41.893055555556,12.482777777778,Sofia,Q472,42.697886,23.321726
651,Vienna - Nice,224321,863.0589961402704,Vienna,Q1741,48.20833,16.373064,Nice,Q33959,43.701944444444,7.2683333333333
652,Alicante - Edinburgh,224161,1967.922040441116,Alicante,Q11959,38.345277777778,-0.48305555555556,Edinburgh,Q23436,55.95,-3.1988888888889
653,London - Dortmund,224115,525.2195656885767,London,Q84,51.507222222222,-0.1275,Dortmund,Q1295,51.513888888889,7.4652777777778
654,Athens - Copenhagen,223335,2136.3960604855138,Athens,Q1524,37.9841666666667,23.7280555555556,Copenhagen,Q1748,55.676111111111,12.568888888889
655,Milan - Pescara,223238,522.4687686645631,Milan,Q490,45.466944444444,9.19,Pescara,Q2704,42.464277777778,14.214188888889
656,Hanover - Vienna,223215,660.3562604420409,Hanover,Q1715,52.374444444444,9.7386111111111,Vienna,Q1741,48.20833,16.373064
657,London - Salzburg,222658,1032.420304294591,London,Q84,51.507222222222,-0.1275,Salzburg,Q34713,47.7972,13.04768
658,Bologna - Bucharest,222354,1168.5951713009072,Bologna,Q1891,44.493888888889,11.342777777778,Bucharest,Q19660,44.4,26.083333333333
659,Stockholm - Budapest,221932,1317.1023895405601,Stockholm,Q1754,59.329444444444,18.068611111111,Budapest,Q1781,47.498333333333,19.040833333333
660,Copenhagen - Riga,221862,724.6100664384071,Copenhagen,Q1748,55.676111111111,12.568888888889,Riga,Q1773,56.9475,24.106944444444
661,Milan - Stuttgart,221586,367.9643362662446,Milan,Q490,45.466944444444,9.19,Stuttgart,Q1022,48.776111111111,9.1775
662,Oslo - Kirkenes,220675,1410.1147386258547,Oslo,Q585,59.911111111111,10.752777777778,Kirkenes,Q209423,69.72708,30.04511
663,Lille - Marseille,220535,834.2991804239681,Lille,Q648,50.631944444444,3.0575,Marseille,Q23482,43.296666666667,5.3763888888889
664,Prague - Munich,220084,299.28654873724815,Prague,Q1085,50.083333333333,14.416666666667,Munich,Q1726,48.1375,11.575
665,Copenhagen - Edinburgh,219564,983.503758006609,Copenhagen,Q1748,55.676111111111,12.568888888889,Edinburgh,Q23436,55.95,-3.1988888888889
666,Munich - Marseille,219507,721.5573475674354,Munich,Q1726,48.1375,11.575,Marseille,Q23482,43.296666666667,5.3763888888889
667,Madrid - Nantes,219327,775.0753470507562,Madrid,Q2807,40.418888888889,-3.6919444444444,Nantes,Q12191,47.217222222222,-1.5538888888889
668,Rome - Cologne,218293,1090.9543202000814,Rome,Q220,41.893055555556,12.482777777778,Cologne,Q365,50.942222222222,6.9577777777778
669,Bordeaux - Barcelona,218268,444.54944222191455,Bordeaux,Q1479,44.837777777778,-0.57944444444444,Barcelona,Q1492,41.3825,2.1769444444444
670,Basel - Brussels,218116,434.51514004450786,Basel,Q78,47.560555555556,7.5905555555556,Brussels,Q239,50.8466666666667,4.35166666666667
671,Warsaw - Rzeszów,217987,250.18028075654004,Warsaw,Q270,52.216666666667,21.033333333333,Rzeszów,Q598,50.05,22
672,Sofia - Milan,217884,1168.2810178018044,Sofia,Q472,42.697886,23.321726,Milan,Q490,45.466944444444,9.19
673,Rome - Düsseldorf,217509,1125.5468452494806,Rome,Q220,41.893055555556,12.482777777778,Düsseldorf,Q1718,51.231144444444,6.7723805555556
674,Basel - Rome,217058,738.9170976818688,Basel,Q78,47.560555555556,7.5905555555556,Rome,Q220,41.893055555556,12.482777777778
675,Venice - Palermo,216948,818.8399325563539,Venice,Q641,45.439722222222,12.331944444444,Palermo,Q2656,38.115658,13.361262
676,Munich - Luxembourg,216262,430.2738924124359,Munich,Q1726,48.1375,11.575,Luxembourg,Q1842,49.610555555556,6.1327777777778
