occurrenceID,verbatimScientificName,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,eventDate,day,month,year,collectionCode,catalogNumber,license,rightsHolder,recordedBy,issue
URN:catalog:CLO:EBIRD:OBS814573599,Alcedo atthis,PT,Ria de Alvor--área geral,Faro,PRESENT,3,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.1338,-8.61732,2019-10-06T00:00:00Z,6,10,2019,EBIRD,OBS814573599,CC0_1_0,NA,obsr286898,NA
URN:catalog:CLO:EBIRD:OBS843416613,Alcedo atthis,TR,Kıyıköy,Kırklareli,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,41.6361,28.0928,2019-10-23T00:00:00Z,23,10,2019,EBIRD,OBS843416613,CC0_1_0,NA,obsr629072,NA
URN:catalog:CLO:EBIRD:OBS818040851,Alcedo atthis,RS,Ada Ciganlija--eastern side,Beograd,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,44.7926,20.4177,2019-10-19T00:00:00Z,19,10,2019,EBIRD,OBS818040851,CC0_1_0,NA,obsr414747,NA
URN:catalog:CLO:EBIRD:OBS899448586,Alcedo atthis,DE,Helmestausee--Schloßberg-Solwiesen,Thüringen,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,51.4248,10.9673,2019-10-13T00:00:00Z,13,10,2019,EBIRD,OBS899448586,CC0_1_0,NA,obsr341677,NA
URN:catalog:CLO:EBIRD:OBS813766359,Phoenicopterus roseus,PT,Lezíria Grande de Vila Franca de Xira--área geral (acesso condicionado),Lisboa,PRESENT,8,e2e717bf-551a-4917-bdc9-4fa0f342c530,38.8916,-8.93875,2019-10-05T00:00:00Z,5,10,2019,EBIRD,OBS813766359,CC0_1_0,NA,obsr780904,NA
URN:catalog:CLO:EBIRD:OBS819942573,Alcedo atthis,CH,Champ Pittet,Vaud,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,46.785,6.66507,2019-10-22T00:00:00Z,22,10,2019,EBIRD,OBS819942573,CC0_1_0,NA,obsr497615,NA
URN:catalog:CLO:EBIRD:OBS812252082,Alcedo atthis,DE,DE-Niedersachsen-Höhbeck-Brücke an der Seege,Niedersachsen,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,53.0421,11.4322,2019-10-03T00:00:00Z,3,10,2019,EBIRD,OBS812252082,CC0_1_0,NA,obsr644617,NA
URN:catalog:CLO:EBIRD:OBS820383603,Phoenicopterus roseus,ES,Embalse de Los Canchales--General,Extremadura,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,38.9738,-6.51419,2019-10-24T00:00:00Z,24,10,2019,EBIRD,OBS820383603,CC0_1_0,NA,obsr959343,NA
URN:catalog:CLO:EBIRD:OBS820273434,Alcedo atthis,IT,Bosco di Patanella,Toscana,PRESENT,4,e2e717bf-551a-4917-bdc9-4fa0f342c530,42.468,11.216,2019-10-24T00:00:00Z,24,10,2019,EBIRD,OBS820273434,CC0_1_0,NA,obsr201220,NA
URN:catalog:CLO:EBIRD_POR:OBS812891334,Alcedo atthis,PT,RN Sapal Castro Marim e VRSA--área geral,Faro,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.2086,-7.44191,2019-10-05T00:00:00Z,5,10,2019,EBIRD_POR,OBS812891334,CC0_1_0,NA,obsr1102137,NA
URN:catalog:CLO:EBIRD:OBS813316853,Alcedo atthis,IT,"Sentiero Parco dell'Adda, Fara Gera D'Adda, Lombardia, IT (45,552, 9,529)",Lombardia,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,45.5523,9.52943,2019-10-06T00:00:00Z,6,10,2019,EBIRD,OBS813316853,CC0_1_0,NA,obsr1057387,NA
URN:catalog:CLO:EBIRD:OBS813138996,Alcedo atthis,PT,Lagoa dos Salgados,Faro,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.0947,-8.33137,2019-10-04T00:00:00Z,4,10,2019,EBIRD,OBS813138996,CC0_1_0,NA,obsr551531,NA
URN:catalog:CLO:EBIRD_POR:OBS813940376,Alcedo atthis,PT,Rio Zêzere--São Gabriel,Guarda,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,40.4026,-7.52424,2019-10-05T00:00:00Z,5,10,2019,EBIRD_POR,OBS813940376,CC0_1_0,NA,obsr1153621,NA
URN:catalog:CLO:EBIRD:OBS812243106,Alcedo atthis,DE,Eittinger Weiher,Bayern,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,48.3835,11.873,2019-10-03T00:00:00Z,3,10,2019,EBIRD,OBS812243106,CC0_1_0,NA,obsr331724,NA
URN:catalog:CLO:EBIRD:OBS817094713,Alcedo atthis,FR,Réserve Ornithologique Du Teich,Aquitaine,PRESENT,3,e2e717bf-551a-4917-bdc9-4fa0f342c530,44.6411,-1.02075,2019-10-13T00:00:00Z,13,10,2019,EBIRD,OBS817094713,CC0_1_0,NA,obsr242422,NA
URN:catalog:CLO:EBIRD:OBS822786508,Alcedo atthis,CH,"3236, Gampelen CH-Bern (46.9834,7.0464)",Bern,PRESENT,3,e2e717bf-551a-4917-bdc9-4fa0f342c530,46.9834,7.04638,2019-10-31T00:00:00Z,31,10,2019,EBIRD,OBS822786508,CC0_1_0,NA,obsr1473378,NA
URN:catalog:CLO:EBIRD:OBS857361850,Alcedo atthis,FR,Mer Méditerrannée entre le Port d'Agde et l'embouchure de l'Hérault,Languedoc-Roussillon,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,43.2721,3.46948,2019-10-19T00:00:00Z,19,10,2019,EBIRD,OBS857361850,CC0_1_0,NA,obsr1535248,NA
URN:catalog:CLO:EBIRD:OBS823297559,Alcedo atthis,TR,"Mogan Gölü, Batı-Ankara",Ankara,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,39.7581,32.7771,2019-10-13T00:00:00Z,13,10,2019,EBIRD,OBS823297559,CC0_1_0,NA,obsr1465031,NA
URN:catalog:CLO:EBIRD_ESP:OBS820326543,Alcedo atthis,ES,Salamanca--Río Tormes,Castilla y León,PRESENT,3,e2e717bf-551a-4917-bdc9-4fa0f342c530,40.958,-5.67189,2019-10-24T00:00:00Z,24,10,2019,EBIRD_ESP,OBS820326543,CC0_1_0,NA,obsr956101,NA
URN:catalog:CLO:EBIRD:OBS811921924,Phoenicopterus roseus,FR,Roc de Conilhac,Languedoc-Roussillon,PRESENT,10,e2e717bf-551a-4917-bdc9-4fa0f342c530,43.1126,3.04429,2019-10-02T00:00:00Z,2,10,2019,EBIRD,OBS811921924,CC0_1_0,NA,obsr1103893,NA
URN:catalog:CLO:EBIRD:OBS816535237,Phoenicopterus roseus,ES,Tablas de Daimiel PN--Area general (Intentar usar Hot spot más específicos),Castilla-La Mancha,PRESENT,4,e2e717bf-551a-4917-bdc9-4fa0f342c530,39.1548,-3.69544,2019-10-11T00:00:00Z,11,10,2019,EBIRD,OBS816535237,CC0_1_0,NA,obsr1136423,NA
URN:catalog:CLO:EBIRD:OBS816363517,Phoenicopterus roseus,PT,PN Ria Formosa--Praia de Faro,Faro,PRESENT,55,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.0081,-7.9949,2019-10-14T00:00:00Z,14,10,2019,EBIRD,OBS816363517,CC0_1_0,NA,obsr278750,NA
URN:catalog:CLO:EBIRD_ESP:OBS820899084,Alcedo atthis,ES,Parque del Ebro,La Rioja,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,42.4686,-2.4494,2019-10-26T00:00:00Z,26,10,2019,EBIRD_ESP,OBS820899084,CC0_1_0,NA,obsr944967,NA
URN:catalog:CLO:EBIRD:OBS820310949,Alcedo atthis,BE,Nieuwpoort - IJzermonding - Reservaat,Vlaamse Gewest,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,51.1474,2.73452,2019-10-24T00:00:00Z,24,10,2019,EBIRD,OBS820310949,CC0_1_0,NA,obsr345071,NA
URN:catalog:CLO:EBIRD:OBS822388960,Phoenicopterus roseus,ES,La CaseríaES-San Fernando-53 Calle Magallanes - 36.484x-6.1 Nov 2016 12:38,Andalucía,PRESENT,NA,e2e717bf-551a-4917-bdc9-4fa0f342c530,36.4837,-6.20186,2019-10-29T00:00:00Z,29,10,2019,EBIRD,OBS822388960,CC0_1_0,NA,obsr756857,NA
URN:catalog:CLO:EBIRD_ESP:OBS818739073,Alcedo atthis,ES,Marjal dels Moros,Valenciana Comunidad,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,39.621,-0.256934,2019-10-20T00:00:00Z,20,10,2019,EBIRD_ESP,OBS818739073,CC0_1_0,NA,obsr901739,NA
URN:catalog:CLO:EBIRD_ESP:OBS822169541,Alcedo atthis,ES,"56 Lugar Zeluan, Principado de Asturias, ES (43,587, -5,92)CASETA DE ZELUAN",Asturias Principado de,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,43.5874,-5.91987,2019-10-29T00:00:00Z,29,10,2019,EBIRD_ESP,OBS822169541,CC0_1_0,NA,obsr1193477,NA
