speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId
grefla3,Greater Flamingo,Phoenicopterus roseus,L2680333,Ria de Aveiro--Marinhas de São Roque,2020-10-10 11:02,60,40.6486223,-8.6580849,TRUE,FALSE,FALSE,S74631433
grefla3,Greater Flamingo,Phoenicopterus roseus,L2289415,Ria de Aveiro--complexo de salinas do Canal das Pirâmides (Salina da Troncalhada e outras),2020-10-10 09:59,1,40.6417709,-8.6631972,TRUE,FALSE,FALSE,S74631378
grefla3,Greater Flamingo,Phoenicopterus roseus,L927095,Paul da Barroca (Barroca d'Alva),2020-10-10 09:28,1,38.7319581,-8.8970804,TRUE,FALSE,FALSE,S74662383
grefla3,Greater Flamingo,Phoenicopterus roseus,L1670947,RN Sapal Castro Marim e VRSA--salinas Cerro do Bufo (acesso condicionado),2020-10-10 09:09,NA,37.2002013,-7.4579358,TRUE,FALSE,FALSE,S74629322
grefla3,Greater Flamingo,Phoenicopterus roseus,L8722765,Quinta dos Ingleses,2020-10-10 09:00,200,38.6817868,-8.9933975,TRUE,FALSE,FALSE,S74631498
grefla3,Greater Flamingo,Phoenicopterus roseus,L4322039,PN Ria Formosa--Marinha do Baeta,2020-10-10 07:23,2,37.01943,-7.8843534,TRUE,FALSE,FALSE,S74639498
grefla3,Greater Flamingo,Phoenicopterus roseus,L1471835,Sapal de Corroios--Ponta dos Corvos,2020-10-09 16:38,60,38.6496508,-9.1165668,TRUE,FALSE,FALSE,S74602372
grefla3,Greater Flamingo,Phoenicopterus roseus,L1099675,Quinta do Lago--lagos da avenida Ayrton Senna,2020-10-09 16:30,4,37.0355842,-8.0275726,TRUE,FALSE,FALSE,S74621354
grefla3,Greater Flamingo,Phoenicopterus roseus,L12460753,Rio Trancão,2020-10-09 16:00,NA,38.7957266,-9.0914868,TRUE,FALSE,TRUE,S74615708
grefla3,Greater Flamingo,Phoenicopterus roseus,L1929582,RN Estuário do Sado--Monte Novo da Palma,2020-10-09 15:07,2,38.424008,-8.6350822,TRUE,FALSE,FALSE,S74602389
grefla3,Greater Flamingo,Phoenicopterus roseus,L1874087,RN Estuário do Tejo--EVOA--Lagoa Rasa (acesso condicionado),2020-10-09 12:19,8,38.8442409,-8.9736136,TRUE,FALSE,FALSE,S74592744
grefla3,Greater Flamingo,Phoenicopterus roseus,L1543666,RN Estuário do Tejo--EVOA--Lagoa Principal (acesso condicionado),2020-10-09 10:57,8,38.8472122,-8.9736411,TRUE,FALSE,FALSE,S74591956
grefla3,Greater Flamingo,Phoenicopterus roseus,L1397857,Salinas de Tavira (Quatro Águas),2020-10-09 09:30,26,37.121009,-7.6358628,TRUE,FALSE,FALSE,S74592214
grefla3,Greater Flamingo,Phoenicopterus roseus,L975199,RN Sapal Castro Marim e VRSA--sapal de Venta Moinhos,2020-10-08 12:00,20,37.2297902,-7.4265164,TRUE,FALSE,FALSE,S74565156
grefla3,Greater Flamingo,Phoenicopterus roseus,L12450993,Parque do Tejo,2020-10-08 11:00,100,38.7866837,-9.0913614,TRUE,FALSE,TRUE,S74567312
grefla3,Greater Flamingo,Phoenicopterus roseus,L1877087,Salinas do Samouco (acesso condicionado),2020-10-07 18:39,20,38.7346553,-8.992377,TRUE,FALSE,FALSE,S74534354
grefla3,Greater Flamingo,Phoenicopterus roseus,L2084822,Ribeira do Almargem,2020-10-07 18:03,100,37.136714,-7.6150703,TRUE,FALSE,FALSE,S74536104
grefla3,Greater Flamingo,Phoenicopterus roseus,L3534346,Lagoa de Óbidos--Foz do Rio Real,2020-10-07 13:34,37,39.397071,-9.2049122,TRUE,FALSE,FALSE,S74541414
grefla3,Greater Flamingo,Phoenicopterus roseus,L3133650,PN Ria Formosa--Ilha da Barreta (Ilha Deserta),2020-10-07 10:29,70,36.9641234,-7.8853083,TRUE,FALSE,FALSE,S74521291
grefla3,Greater Flamingo,Phoenicopterus roseus,L1368094,PN Ria Formosa--Quinta do Lago--área geral,2020-10-07 09:36,3,37.0246316,-8.0118258,TRUE,FALSE,FALSE,S74520985
grefla3,Greater Flamingo,Phoenicopterus roseus,L2065200,ETAR de Vilamoura,2020-10-07 07:47,3,37.0952034,-8.1441736,TRUE,FALSE,FALSE,S74519395
grefla3,Greater Flamingo,Phoenicopterus roseus,L2142778,PN Ria Formosa--Cacela Velha,2020-10-07 07:15,1,37.1562721,-7.5458586,TRUE,FALSE,FALSE,S74577057
grefla3,Greater Flamingo,Phoenicopterus roseus,L1320309,Ria de Alvor--Abicada,2020-10-06 18:18,85,37.1475059,-8.5947418,TRUE,FALSE,FALSE,S74554985
grefla3,Greater Flamingo,Phoenicopterus roseus,L3523193,Cais da Matinha,2020-10-06 12:20,1,38.750089,-9.094934,TRUE,FALSE,FALSE,S74485535
grefla3,Greater Flamingo,Phoenicopterus roseus,L12437668,"06/10/2020 13:28
37,189, -8,471",2020-10-06 10:37,77,37.1886659,-8.4708165,TRUE,FALSE,TRUE,S74485980
grefla3,Greater Flamingo,Phoenicopterus roseus,L4890533,Praia do Bom Sucesso,2020-10-05 17:50,19,39.4244753,-9.2339122,TRUE,FALSE,TRUE,S74468800
grefla3,Greater Flamingo,Phoenicopterus roseus,L2870280,Lagoa de Óbidos--braço do Bom Sucesso,2020-10-05 13:30,11,39.3901063,-9.2231727,TRUE,FALSE,FALSE,S74468442
grefla3,Greater Flamingo,Phoenicopterus roseus,L2369169,Barrinha de Esmoriz,2020-10-05 11:24,1,40.965369,-8.6425066,TRUE,FALSE,FALSE,S74451020
grefla3,Greater Flamingo,Phoenicopterus roseus,L12424128,"Silves, Faro, PT (37,189, -8,47)",2020-10-04 15:42,110,37.1889202,-8.4704794,TRUE,FALSE,TRUE,S74404862
grefla3,Greater Flamingo,Phoenicopterus roseus,L977968,Ribeira das Enguias,2020-10-04 15:15,200,38.7478581,-8.9222717,TRUE,FALSE,FALSE,S74406374
grefla3,Greater Flamingo,Phoenicopterus roseus,L1323358,ETAR da Atouguia da Baleia,2020-10-04 10:38,2,39.3480835,-9.3364048,TRUE,TRUE,FALSE,S74394286
grefla3,Greater Flamingo,Phoenicopterus roseus,L10352893,Salinas Simeão,2020-10-04 09:48,25,37.1217708,-7.6420414,TRUE,FALSE,TRUE,S74393526
