"id","lat","lon","place","name","country"
87198774,45.4602334,15.2537407,"village","Vinica","slovenia"
87198782,45.5220105,15.1787783,"village","Dragatuš","slovenia"
87223905,45.9426493,15.1446786,"village","Mokronog","slovenia"
87279180,45.8343735,14.2559599,"village","Planina","slovenia"
87279639,45.8130947,14.3192052,"town","Rakek","slovenia"
87279980,45.7960031,14.3603861,"town","Cerknica","slovenia"
88220066,46.4841234,13.8387267,"village","Gozd Martuljek","slovenia"
88220819,46.4609536,13.9394245,"village","Mojstrana","slovenia"
88222100,46.4346368,14.0573298,"town","Jesenice","slovenia"
89237561,46.4161348,13.61,"hamlet","Strmec na Predelu","slovenia"
89318662,42.9743241,17.1739692,NA,"Passenger ferry to Korčula","slovenia"
91297994,46.1966774,14.3320295,"village","Žabnica","slovenia"
91534024,46.375739,15.4351303,"village","Malahorna","slovenia"
91555010,46.1510617,14.6259829,"village","Dob","slovenia"
91737550,45.972742,13.649443,"village","Solkan","slovenia"
91738061,45.9809853,13.6966458,"village","Ravnica","slovenia"
91738443,45.9664622,13.7554752,"hamlet","Rijavci","slovenia"
91738444,45.972467,13.7439927,"village","Trnovo","slovenia"
91794205,45.487754,13.6564774,"village","Korte","slovenia"
92735247,45.9453726,13.8799182,"village","Predmeja","slovenia"
92735410,45.9263045,13.90911,"village","Otlica","slovenia"
92770795,45.8812811,14.0019801,"village","Col","slovenia"
92770938,45.8990874,13.9607545,"hamlet","Gozd","slovenia"
92770940,45.8720457,14.0230491,"hamlet","Višnje","slovenia"
92770942,45.8650223,14.0590633,"village","Podkraj","slovenia"
92771589,45.8961218,14.19298,"village","Kalce","slovenia"
94174470,46.159574,14.178599,"village","Javorje","slovenia"
95011976,46.1218562,14.1865268,"village","Poljane nad Škofjo Loko","slovenia"
95011980,46.1343365,14.1792134,"hamlet","Volča","slovenia"
95011984,46.1459243,14.1839275,"hamlet","Podobeno","slovenia"
95011985,46.1564327,14.1748825,"hamlet","Dolenčice","slovenia"
95011988,46.1603247,14.1739247,"hamlet","Murave","slovenia"
95011991,46.1674013,14.1854679,"village","Četena Ravan","slovenia"
95011994,46.174697,14.1875055,"hamlet","Zapreval","slovenia"
95011996,46.1844781,14.2224899,"hamlet","Spodjna Luša","slovenia"
95011999,46.1270511,14.2074901,"hamlet","Visoko pri poljanah","slovenia"
95012002,46.1325243,14.2353797,"hamlet","Log nad Škofjo loko","slovenia"
95012008,46.1360144,14.246574,"hamlet","Gabrk","slovenia"
95012011,46.1618561,14.311505,"village","Puštal","slovenia"
95012017,46.1611492,14.328238,"hamlet","Hosta","slovenia"
95012026,46.156005,14.3365865,"village","Pungert","slovenia"
95012038,46.1536745,14.3446215,"village","Gosteče","slovenia"
95012042,46.1473964,14.3562925,"village","Draga","slovenia"
95012050,46.1418393,14.3736529,"village","Sora","slovenia"
95012053,46.1417066,14.3864132,"village","Rakovnik","slovenia"
95012059,46.1417364,14.3961682,"village","Goričane","slovenia"
95012065,46.1370414,14.4000587,"village","Vaše","slovenia"
95012070,46.156928,14.3783432,"village","Gorenja vas - Reteče","slovenia"
95012076,46.1584009,14.3689787,"village","Reteče","slovenia"
95012080,46.1662369,14.3541723,"village","Godešič","slovenia"
95012087,46.1234918,14.4371189,"village","Medno","slovenia"
95053731,46.0215084,14.6124045,"village","Sadinja vas","slovenia"
95053827,46.029409,14.6200226,"village","Češnjica","slovenia"
95053877,46.0321293,14.6307102,"hamlet","Zagradišče","slovenia"
95054543,46.0376007,14.6495365,"village","Besnica","slovenia"
95054546,46.0339438,14.6866956,"hamlet","Zgornja Besnica","slovenia"
95054547,46.0160079,14.6975591,"hamlet","Ravno brdo","slovenia"
95055112,46.0048547,14.7347682,"hamlet","Mali Vrh pri Prežganju","slovenia"
95055113,45.9930235,14.6661002,"hamlet","Pance","slovenia"
95055115,46.0014036,14.6576426,"village","Selo pri Pancah","slovenia"
95772933,46.707876,16.1983913,"village","Sebeborci","slovenia"
95777651,46.7043348,16.1550852,"village","Puconci","slovenia"
95920483,46.6769963,15.9913176,"town","Gornja Radgona","slovenia"
95924594,46.3435762,15.1708895,"village","Vinska Gora","slovenia"
96019041,46.4241147,15.7881006,"village","Kungota pri Ptuju","slovenia"
96027615,46.5433374,15.5925529,"suburb","Pekre","slovenia"
96027858,46.5553241,15.5819064,"village","Limbuš","slovenia"
96028058,46.5386688,15.5139415,"town","Ruše","slovenia"
96534219,46.6408144,16.0406849,"village","Radenci","slovenia"
96570491,46.4660675,15.7153952,"village","Dravski Dvor","slovenia"
96591043,46.4073475,16.1475336,"town","Ormož","slovenia"
96959453,46.3769729,15.0458514,"town","Šoštanj","slovenia"
98330148,43.2219154,28.0086896,NA,"Нос Свети Георги","slovenia"
98338035,43.3993157,28.2225192,NA,"нос Тузлата","slovenia"
98338358,43.3601141,28.465334,NA,"Нос Калиакра","slovenia"
98339171,43.3278351,28.0686004,NA,"нос Екрене","slovenia"
98832550,46.3871131,15.106313,"village","Škale","slovenia"
98840738,46.3998952,15.0462387,"village","Lajše","slovenia"
99371812,46.2612876,14.3890085,"village","Britof","slovenia"
99372293,46.2655928,14.3855234,"village","Predoslje","slovenia"
99871778,46.1578173,14.395844,"hamlet","Jeprca","slovenia"
99871844,46.1567769,14.4108626,"village","Zbilje","slovenia"
100237774,46.4013506,15.0213924,"village","Topolšica","slovenia"
100278866,46.3446044,15.0088231,"village","Gorenje","slovenia"
100280862,46.317632,15.0215596,"village","Letuš","slovenia"
102805024,46.6857999,16.2216892,"village","Moravske Toplice","slovenia"
106010765,46.3351752,15.2264908,"village","Dobrna","slovenia"
106022500,46.2791422,15.0754039,"town","Polzela","slovenia"
107544292,46.1357719,14.510431,"village","Rašica","slovenia"
107544296,46.1224768,14.5027709,"village","Spodnje Gameljne","slovenia"
107544300,46.1263471,14.5009952,"village","Srednje Gameljne","slovenia"
107544303,46.1276557,14.490869,"village","Zgornje Gameljne","slovenia"
108106198,46.1506004,14.4818911,"village","Skaručna","slovenia"
108111715,46.1472724,14.4875502,"hamlet","Vojsko","slovenia"
108116685,46.1618857,14.4954167,"village","Polje pri Vodicah","slovenia"
108122161,46.170537,14.4804122,"village","Repnje","slovenia"
108123850,46.1791814,14.466993,"village","Zapoge","slovenia"
108125468,46.1755457,14.4661474,"hamlet","Dornice","slovenia"
108129863,46.1736041,14.446569,"village","Hraše","slovenia"
108131235,46.1702125,14.4337463,"village","Valburga","slovenia"
108133289,46.1640594,14.4342229,"village","Smlednik","slovenia"
108134098,46.1251551,14.442831,"village","Vikrče","slovenia"
108134230,46.1328493,14.4369603,"village","Spodnje Pirniče","slovenia"
108135204,46.1384098,14.455822,"village","Zavrh pod Šmarno goro","slovenia"
108135613,46.1442945,14.4199625,"village","Verje","slovenia"
108182245,46.1416436,14.4265114,"village","Zgornje Pirniče","slovenia"
110289654,46.1590205,14.6103442,"village","Količevo","slovenia"
110289699,46.1645866,14.6233546,"village","Turnše","slovenia"
110489271,46.340402,14.3350545,"village","Gozd","slovenia"
113375452,46.3462344,15.104478,"village","Kavče","slovenia"
114081102,46.2833107,15.177211,"village","Velika Pirešica","slovenia"
114096053,46.3547438,15.0913479,"village","Podkraj pri Velenju","slovenia"
115351408,46.3581392,15.019517,"village","Skorno","slovenia"
122489606,46.329884,15.0333868,"village","Šmartno ob Paki","slovenia"
130223456,45.9576465,14.5145641,"hamlet","Staje","slovenia"
130223464,45.9504559,14.516109,"hamlet","Kot","slovenia"
130223468,45.9679757,14.4917339,"village","Brest","slovenia"
130223470,45.9636899,14.4812829,"village","Tomišelj","slovenia"
130223494,45.9710424,14.514726,"village","Iška Loka","slovenia"
130223495,45.9519777,14.4901881,"village","Vrbljene","slovenia"
